KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1997-12,547.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-01,344.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-02,31.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-03,22.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-04,23.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-05,18.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-06,13,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-07,9.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-08,4.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-09,3.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-10,3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-11,1.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1998-12,1.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-01,1.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-02,-0.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-03,-1.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-04,-2.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-05,-1.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-06,1.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-07,5.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-08,5.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-09,4.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-10,4.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-11,6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,1999-12,7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.BG.N.000000.4.ANR,M,BG,N,000000,4,ANR,2000-01,7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.BG.00.M,,,,,,,1,,HICP - Overall index,"Bulgaria - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
