KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-01,0.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-02,0.5,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-03,0.8,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-04,1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-05,1.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-06,1.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-07,1.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-08,1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-09,1.2,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-10,1.3,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-11,1.4,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1996-12,1.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1997-01,0.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1997-02,0.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1997-03,0.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1997-04,0.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1997-05,0.9,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1997-06,1.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1997-07,1.1,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1997-08,1.7,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.FI.N.000000.4.ANR,M,FI,N,000000,4,ANR,1997-09,1.6,A,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.FI.00.M,,,,,,,1,,"HICP - Overall index""","Finland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
