KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-01,7.8,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-02,8.1,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-03,8.6,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-04,8.5,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-05,8.3,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-06,7.9,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-07,8,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-08,7.7,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-09,7.7,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.GR.N.000000.4.ANR,M,GR,N,000000,4,ANR,1996-10,7.7,A,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.EL.00.M,,,,,,,1,,"HICP - Overall index""","Greece - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
