KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-01,17.7,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-02,17.4,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-03,16.5,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-04,15.3,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-05,14.4,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-06,15.4,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-07,15.1,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-08,15.1,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-09,13.9,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.PL.N.000000.4.ANR,M,PL,N,000000,4,ANR,1997-10,13.3,D,F,,,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.PL.00.M,,,,,,,1,,HICP - Overall index,"Poland - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
