KEY,FREQ,REF_AREA,ADJUSTMENT,ICP_ITEM,STS_INSTITUTION,ICP_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DATA_COMP,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-01,26.6,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-02,27.2,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-03,28.3,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-04,28.7,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-05,34.2,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-06,33.8,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-07,40.2,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-08,44.1,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-09,45.4,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
ICP.M.RO.N.000000.4.ANR,M,RO,N,000000,4,ANR,1996-10,45.2,D,F,,ECB estimate,P1M,,A,,,,ICPT.M.VAL.HICP.RCH_A.RO.00.M,,,,,,,1,,HICP - Overall index,"Romania - HICP - Overall index, Annual rate of change, Eurostat, Neither seasonally nor working day adjusted",PCCH,0
